ID,BUS_PERCENT,STAY_C,PROPLOYALTY,PRICE_INDEX,LEADTIME,CRO_BOOK_PCT,SUCCESS_B,POINTS_EARNEDPERREV,MIDSCALE_PCT,UPSCALE_PCT,EXT_STAY_PCT,COPARTNER_B,AIRPORT_PCT,RESORT_PCT,SUBURBAN_PCT,SMALLTOWN_PCT,URBAN_PCT,ADJMS_B,DIST1_PCT,WEEKENDS_PCT,US_US_PCT,MEMBER_CLUB,POINTS_COLLECTOR,GDS_BOOK_PCT,WEB_BOOK_PCT,P_REDEEM_B,REGISTRATION_B,NIGHTSPERSTAY,REVPERNIGHT
42895,0.5,11,0.363636364,1.224307572,9.909090909,0,0,8.97336293,0.636363636,0,0.363636364,0,0,0,0.363636364,0.636363636,0,0,0.636363636,0.0625,1,0,1,0.363636364,0,0,0,1.454545455,112.625
38665,0,1,1,0.927596279,17,1,1,10,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,2,79
82405,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0
374244,0,4,0.25,1.04747364,10.25,0.25,0,10.01212121,1,0,0,0,0.25,0,0.25,0.5,0,0,0.25,0,1,1,1,0,0,0,0,1,82.5
50482,0,1,1,0.845340417,0,0,0,0.842352941,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,5,85
34647,0,1,1,0.463512907,30,1,1,7.561797753,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,2,44.5
52673,0,1,1,1.321056596,0,0,0,10.74626866,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,134
259917,0,1,1,1.200146643,0,0,0,10.03603604,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,111
168261,0,3,1,1.093291936,-0.333333333,0,0,10,1,0,0,0,0,0,0,1,0,0,1,0.5,1,1,1,0,0,0,0,1.333333333,72
77891,0,1,1,0.834487098,0,0,0,14.37974684,1,0,0,0,0,0,1,0,0,0,0,0.2,1,1,1,0,0,0,0,5,79
41056,0,2,0.5,1.232286503,0.5,0,0,10,1,0,0,0,0,0,0.5,0.5,0,0,0.5,0.5,1,1,1,0,0,0,0,1,118.5
57024,0,1,1,0.869431931,0,0,0,10.0125,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,4,80
129282,0,2,0.5,0.62665473,31.5,1,0,87.69686411,1,0,0,1,0,0,0,0,0.5,0,0,0.666666667,0,0,1,0,0,0,0,1.5,95.66666667
182833,0,1,1,1.012424374,0,0,1,8.333333333,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,114
176891,0,1,1,1.937490971,1,1,1,12.30120482,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,3,249
182985,0,1,1,0.606592937,0,0,0,11.27522936,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,109
192862,0,1,1,1.420429918,0,0,0,10.11961722,1,0,0,0,0,0,1,0,0,0,1,0.5,1,1,1,0,0,0,0,4,209
105767,0,1,1,0.729946056,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,84
285249,1,1,1,1.284013547,10,0,0,5,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,3,81
252365,0,1,1,1.160333835,0,1,0,14.25882353,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,85
160425,0,6,0.333333333,0.574034522,18,0,0,50.46556474,1,0,0,1,0,0,0.666666667,0.333333333,0,0,0.333333333,0.333333333,0.666666667,1,1,0,0.333333333,1,1,1,60.5
127307,1,1,1,1.098938135,0,0,1,10,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,89
93388,0,3,0.666666667,0.960993357,10.33333333,0,1,2.659574468,1,0,0,0,0,0,0.333333333,0.666666667,0,0,1,0.6,1,0,0,0,1,1,1,1.666666667,75.2
119990,0,1,1,1.043582502,0,0,0,10,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,80
323191,0,1,1,1.710282286,0,0,0,5,0,0,1,0,0,0,1,0,0,0,1,0.4,1,1,1,0,0,0,0,5,195
73134,0.4,3,0.666666667,1.240839292,4.333333333,0.333333333,0,12.5204918,0.333333333,0.666666667,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.666666667,146.4
86651,0,1,1,0.867172971,0,0,0,10,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,66
214605,0,1,1,1.263503805,14,0,0,10,1,0,0,0,0,0,0,0,1,0,0,0.4,1,1,1,0,1,0,0,5,179.8
154468,0,1,1,0.742817996,0,0,0,2.254791432,0,1,0,0,0,0,0,0,0,0,0,0.4,0,1,1,0,0,0,1,5,177.4
344871,0.6,3,0.666666667,1.161108629,0,0,0,0,1,0,0,0,0,0.666666667,0,0.333333333,0,0,0,0,0,1,0,0,0,0,0,1.666666667,104
77651,0,1,1,0.800796432,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,132
103235,0,1,1,0.940036605,0,0,0,10,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,60
284962,1,2,0.5,1.037390163,0,0,0,10.22516556,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,2,113.25
